Date ID,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),ADX,MACD,MACD_Sig,MACD_Hist,MOM,ATR,RSI,SlowD,SlowK,WILLR,Upper_Band,Middle_Band,Lower_Band,SMA,EMA,Actual Close Value,Label
6345,-0.516117862619411,-0.5020494618001153,-0.48883673179734477,-0.48805778517027815,-0.1820502202877878,-0.2467660829536893,1.3756158459677768,1.1149977521750334,0.9882540924630621,0.5724314354576272,0.937887732562633,-0.5313950565242598,1.1236145968648923,0.4647406949129009,-0.24954268074174243,1.1362095159895567,-0.5092981554469901,-0.5421555849947006,-0.5745010927770464,-0.6818548309016603,-0.6294514070837937,6187.3,1
13420,-0.48813835522154503,-0.4941238627587961,-0.4776089275482397,-0.4771479778525019,-0.38442975435854027,-0.5756195147464617,1.444887665101817,1.1847515073680595,1.0447997476020914,0.6232407620979726,0.8919394882731364,-0.6193388208188401,1.1906454205164905,1.3905418830263385,0.4598435315448705,1.187485815945981,-0.4850398162470134,-0.532092996922802,-0.5787303846612228,-0.6709337128063508,-0.6185555836786074,6156.9,1
34645,-0.47245856416300924,-0.4756412404885255,-0.4776716527116422,-0.49620879063758205,-0.8304796047660983,-0.6825110766444517,1.5339612888450438,1.1881823352008778,1.0907684320291342,0.5030406559861966,0.4019835983882239,-0.5930436860409493,0.9357421542308657,1.1206357771315192,1.0719060725553342,0.5934555814931368,-0.4879932929871291,-0.5099125638773743,-0.5312977922888876,-0.6585742087255102,-0.6096149869568022,6114.1,0
2003,-0.5010327143355501,-0.5064664952579259,-0.5050825491186757,-0.5230444086376281,-0.6819063814772351,-0.8605912677966423,1.5177929792313314,1.1254743782103744,1.1141611057197203,0.24647958949600124,0.07558441226956289,-0.5886863903421747,0.5908767693135787,0.5580539183302252,1.1055325426178868,0.10672333535552647,-0.5291541197320867,-0.4949915244753219,-0.45998613227487245,-0.6466669204600469,-0.6030142677399966,6094.5,0
9078,-0.5168689903347898,-0.52692268566892,-0.5225828697080636,-0.5353336168806403,-0.6253294663557003,-0.5882916166935797,1.4435781015047342,1.0381132996344098,1.1142318390577541,-0.018558461704474376,0.07344174802808456,-0.6019645431487155,0.4367667166162083,-0.423181140368697,0.45193704227604353,-0.09718164149995887,-0.5228419517463704,-0.5015595472955179,-0.47950117699187833,-0.6349570785365086,-0.5976467861969179,5967.05,0
16153,-0.5648472731546209,-0.5683676166241204,-0.5970690012489158,-0.6152448204812462,0.5361090847570399,0.32368430722455693,1.1675590495369546,0.8094725357816391,1.065495043480789,-0.5732229601121475,-0.7457702136307962,-0.37485539543729207,-0.4224024494416524,-1.239879165299289,-0.3987010788492624,-1.6948206485721211,-0.4969655716851147,-0.5270585602922029,-0.5566430609513106,-0.6249372074535362,-0.5978756547775036,5983.55,0
23228,-0.5896970817384078,-0.6098125475793201,-0.6089240571320491,-0.6048993135419759,-0.12881326865313933,-0.4526867868047362,0.8835798757864733,0.6368660072128621,0.9896702842844005,-0.8810593142127447,-0.7267243092620923,-0.3838946559842605,-0.32106083270760966,-1.591810556648315,-1.1734289336903645,-1.3244202748624634,-0.5237280272588064,-0.5526707066963168,-0.5810649018055158,-0.6159173065538627,-0.5974100714418357,6083.15,1
4736,-0.6030295986863844,-0.5568081460855953,-0.5846180563134552,-0.5424500716540174,-0.9576900615060584,-0.9221643442049545,0.7298140000727329,0.6048705463468614,0.9221824436146409,-0.7863158835241845,0.35127387800655124,-0.22506400863088152,0.23414770454289427,-1.024216111709502,-1.3900186487401904,-0.258685688354138,-0.5504631752370013,-0.5619413609162103,-0.5727568366504132,-0.6055322658922747,-0.5928716926705929,6111.25,1
11811,-0.5423447386813925,-0.5394219505601713,-0.5345320133363015,-0.5248313598362296,-0.5200831980773598,-0.7239879143859508,0.6191151805339876,0.6018876942455473,0.867555611611858,-0.6401592335182181,0.4138872886186682,-0.26759767118429334,0.37405725978599913,-0.07849606739175723,-0.9715011809823229,0.041988426915786754,-0.5515814779357258,-0.5622996167064026,-0.5723501331905335,-0.5931610848772342,-0.5874685863322556,6104.3,1
18886,-0.5210001927693743,-0.5410509274382287,-0.5254995898062946,-0.5291890127591342,-0.8669788304047994,-0.8556024613458821,0.5163234195337245,0.5817088942256229,0.8195478627114363,-0.5649378385714741,-0.3398543767727927,-0.36909566186188386,0.3242508935637626,0.7851818039981299,-0.11492523679138063,-0.0323775909178751,-0.5483202563324259,-0.5610677196032844,-0.5731610341745411,-0.5817835048086561,-0.5827003595662582,6124.05,0
25961,-0.5512330833133774,-0.5356001201924202,-0.5240255484663287,-0.516805754453038,0.4498891538017718,0.15779220089248133,0.4318297411488828,0.5787281985279953,0.7805055643142825,-0.46305156780668294,-0.35604339548618935,-0.44018405855219295,0.4307951888907689,1.2057674519727453,0.6886744332016356,0.17895030148714042,-0.5426562787674989,-0.5413322251961883,-0.5392973237611989,-0.5725459883170759,-0.5774261965470535,5985.95,1
33036,-0.5346143826106179,-0.5528296833257232,-0.5846180563134552,-0.6033945125326278,0.11516721350221736,-0.06009554058682115,0.19379741331624445,0.40929048010180696,0.7131126469485426,-0.785237144485725,-1.096452927819561,-0.18925279299248968,-0.4812197429083,0.2892555736681001,0.8211978751713633,-1.298739923380339,-0.5435154007362685,-0.5410305361097101,-0.5378284235700468,-0.5662351361517748,-0.5781810696497477,5939.3,0
3804,-0.5980533775719984,-0.6125066247238004,-0.6217513530479263,-0.6326440821518371,-1.0110120979891677,-0.639723200385717,0.05255927320481991,0.21563106655628267,0.6178701717756965,-1.1017285005397508,-1.1738269143174165,-0.15264705775142176,-0.732738131468111,-0.6396053120033682,0.3077598055478818,-1.5951229586798348,-0.5292185417408324,-0.5591130257304793,-0.5884562268857896,-0.5629188868390081,-0.5808088995222038,5919.45,0
10879,-0.6332624892303869,-0.6309265940372223,-0.6255775880154987,-0.6450900404999897,-0.9695330026714102,-0.9109747829066871,-0.07067882112549492,0.03575625190849214,0.5032897707739901,-1.3214909258981336,-1.0645510380019825,-0.20363584213514013,-0.8374605176130095,-1.7338844308995915,-0.7515768287857892,-1.7343987996950638,-0.5421563913221129,-0.583223011891505,-0.6237724028067797,-0.561113208195917,-0.5840848750803426,5923.85,0
